header;url;nb_points;theme;duree;sujet_url;correction_url
Détermination de lage de la Terre par Buffon;https://labolycee.org/determination-de-lage-de-la-terre-par-buffon;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2398b-Sujet-AgeTerreBuffon.pdf;
Lhistoire de lâge de la Terre;https://labolycee.org/lhistoire-de-lage-de-la-terre;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2408a-Sujet-AgeTerreErosion.pdf;
New-York Pékin en avion;https://labolycee.org/new-york-pekin-en-avion;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2394b-Sujet-NYPekin.pdf;
Détermination de lage de la Terre par algorithme;https://labolycee.org/determination-de-lage-de-la-terre-par-algorithme;10 points;1ère EC Enseignement Scientifique | La matière | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3183a-Sujet-AgeTerreAlgorithme_1.pdf;
La datation de loccupation dune grotte par Homo Sapiens;https://labolycee.org/la-datation-de-loccupation-dune-grotte-par-homo-sapiens;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2412a-Sujet-DatationGrotte.pdf;https://www.labolycee.org/sites/default/files/2022-10/1EnsSci-2412a-Correction-DatationGrotte.pdf
Différentes méthodes de datation au service de la géologie;https://labolycee.org/differentes-methodes-de-datation-au-service-de-la-geologie;10 points;1ère EC Enseignement Scientifique | La matière | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2019-08/2020-1EnsSci-Sujet0-DatationGeologie-10pts.pdf;https://www.labolycee.org/sites/default/files/2019-12/2020-1EnsSci-Sujet0-DatationGeologie-Correction-10pts.pdf
Les structures microscopiques de la silice et du silicium;https://labolycee.org/les-structures-microscopiques-de-la-silice-et-du-silicium;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-4041b-Sujet-CristauxSi.pdf;
Lor : exploitation et conséquences sanitaires;https://labolycee.org/lor-exploitation-et-consequences-sanitaires;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3174b-Sujet-CristauxOr.pdf;
Lumière cendrée de la Lune;https://labolycee.org/lumiere-cendree-de-la-lune;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2393b-Sujet-LuneCendree.pdf;
La datation au 14C pour préserver la biodiversité;https://labolycee.org/la-datation-au-14c-pour-preserver-la-biodiversite;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-4046b-Sujet-C14Elephant.pdf;
De la radiumthérapie à la curiethérapie;https://labolycee.org/de-la-radiumtherapie-la-curietherapie;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2026-01/1EnsSci-4047a-Sujet-Curietherapie.pdf;https://www.labolycee.org/sites/default/files/2026-01/1EnsSci-4047a-Correction-Curietherapie.pdf
Les minerais dargent et leur exploitation;https://labolycee.org/les-minerais-dargent-et-leur-exploitation;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2424b-Sujet-CristauxAg.pdf;https://www.labolycee.org/sites/default/files/2022-10/1EnsSci-2424b-Correction-CristauxAg.pdf
Les peintures et les gravures de la grotte Chauvet;https://labolycee.org/les-peintures-et-les-gravures-de-la-grotte-chauvet;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2398a-Sujet-DatationChauvet.pdf;
Géode de galène;https://labolycee.org/geode-de-galene;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2393a-Sujet-Geode.pdf;
Diamant et Kimberlite;https://labolycee.org/diamant-et-kimberlite;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2392a-Sujet-CristauxDiamant.pdf;
La datation des peintures rupestres de la grotte Chauvet;https://labolycee.org/la-datation-des-peintures-rupestres-de-la-grotte-chauvet;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2019-08/2020-1EnsSci-Sujet0-DatationChauvet-10pts.pdf;https://www.labolycee.org/sites/default/files/2019-12/2020-1EnsSci-Sujet0-DatationChauvet-Correction-10pts.pdf
Synthèse de la menthone à partir du menthol;https://labolycee.org/synthese-de-la-menthone-partir-du-menthol-0;10 points;1ère EC Spécialité Physique Chimie | Oxydoréduction | Quantité de matière | Spectroscopie IR | Synthèse organique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-123-SUJET-Chi-Exo1-Menthone-AvecCalc.pdf;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-123-CORRECTION-Chi-Exo1-Menthone-AvecCalc_0.pdf
Chauffage et eau chaude de la maison;https://labolycee.org/chauffage-et-eau-chaude-de-la-maison;10 points;1ère EC Spécialité Physique Chimie | Combustions | Électricité;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-110-Exo1-Phy-Chi-ChauffeEau.pdf;
Dosage spectrophotométrique dun additif alimentaire : le bleu patenté V;https://labolycee.org/dosage-spectrophotometrique-dun-additif-alimentaire-le-bleu-patente-v;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Photon | Python;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-107-SUJET-Exo2-Phy-Chi-BeerBleuV-SpectroDEL.pdf;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-107-CORRECTION-Exo2-Phy-Chi-BeerBleuV-SpectroDEL.pdf
Exposition au soleil et protection;https://labolycee.org/exposition-au-soleil-et-protection;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Photon;1 heure;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-105-SUJET-Exo2-Phy-Chi-SoleilOzone.pdf;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-105-CORRECTION-Exo2-Phy-Chi-SoleilOzone.pdf
Ressources dénergie renouvelables;https://labolycee.org/ressources-denergie-renouvelables;10 points;1ère EC Spécialité Physique Chimie | Combustions | Énergie mécanique;1 heure;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-105-SUJET-Exo1-Phy-Chi-RenouvelableElHierro.pdf;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-105-CORRECTION-Exo1-Phy-Chi-RenouvelableElHierro.pdf
Vélo à assistance électrique;https://labolycee.org/velo-assistance-electrique;10 points;1ère EC Spécialité Physique Chimie | Énergie mécanique | Oxydoréduction | Quantité de matière | Spectroscopie IR;1 heure;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-104-SUJET-Exo1-Phy-Chi-VeloElectrique.pdf;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-104-CORRECTION-Exo1-Phy-Chi-VeloElectrique.pdf
Centrale électrique de lOuest Guyanais (CEOG);https://labolycee.org/centrale-electrique-de-louest-guyanais-ceog;10 points;1ère EC Spécialité Physique Chimie | Électricité | Oxydoréduction;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-104-SUJET-Exo1-Phy-Chi-ElectrolyseH2Guyane_0.pdf;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-104-CORRECTION-Exo1-Phy-Chi-ElectrolyseH2Guyane_1.pdf
La fluorescence au service du diagnostic médical;https://labolycee.org/la-fluorescence-au-service-du-diagnostic-medical;10 points;1ère EC Spécialité Physique Chimie | Images et couleurs | Loi de Beer-Lambert | Photon;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-103-Exo2-PhyChi-FluoSpectroPhoto.pdf;
La fosse de plongée Nemo 33;https://labolycee.org/la-fosse-de-plongee-nemo-33;10 points;1ère EC Spécialité Physique Chimie | Fluide | Loi de Beer-Lambert | Oxydoréduction | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2021-04/PC-GENE-103-SUJET-Exo1-PhyChi-PlongeeNemoClO.pdf;https://www.labolycee.org/sites/default/files/2021-04/PC-GENE-103-CORRECTION-Exo1-PhyChi-PlongeeNemoClO.pdf
Les dangers des sons;https://labolycee.org/les-dangers-des-sons;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2430a-Sujet-DangerSon.pdf;
